	Width	Height	Fps	Default bitrate
0	2560	1440	29,97	4190
1	2560	1440	29,97	4170
2	2560	1440	29,97	4140
3	2560	1080	29,97	4190
4	2560	1080	29,97	4170
5	2560	1080	29,97	4140
6	2304	1296	29,97	4190
7	2304	1296	29,97	4170
8	2304	1296	29,97	4140
9	1920	1080	59,94	41C8
10	1920	1080	59,94	4170
11	1920	1080	59,94	4140
12	1920	1080	45,00	4140
13	1920	1080	45,00	4120
14	1920	1080	45,00	4100
15	1920	1080	40,00	4140
16	1920	1080	40,00	4120
17	1920	1080	40,00	4100
18	1920	1080	29,97	4140
19	1920	1080	29,97	4120
20	1920	1080	29,97	4100
21	1920	1080	29,97	4140
22	1920	1080	29,97	4120
23	1920	1080	29,97	4100
24	1920	1080	29,97	4170
25	1920	1080	29,97	4140
26	1920	1080	29,97	4120
27	1440	1080	72,82	4170
28	1440	1080	72,82	4140
29	1440	1080	72,82	4120
30	1440	1080	29,97	4140
31	1440	1080	29,97	4120
32	1440	1080	29,97	4100
33	1440	1080	29,97	4170
34	1440	1080	29,97	4140
35	1440	1080	29,97	4120
36	1600	1200	59,94	4170
37	1600	1200	59,94	4140
38	1600	1200	59,94	4120
39	1600	1200	29,97	4140
40	1600	1200	29,97	4120
41	1600	1200	29,97	4100
42	1600	900	29,97	4140
43	1600	900	29,97	4120
44	1600	900	29,97	4100
45	1280	720	59,94	4140
46	1280	720	59,94	4110
47	1280	720	59,94	40C0
48	1280	720	29,97	4100
49	1280	720	29,97	40C0
50	1280	720	29,97	4080
51	1280	720	29,97	4100
52	1280	720	29,97	40C0
53	1280	720	29,97	4080
54	848	480	59,94	4100
55	848	480	59,94	40C0
56	848	480	59,94	4080
57	848	480	29,97	40A0
58	848	480	29,97	4080
59	848	480	29,97	4040
60	720	480	59,94	4100
61	720	480	59,94	40C0
62	720	480	59,94	4080
63	720	480	29,97	4080
64	720	480	29,97	4040
65	720	480	29,97	4000
66	1280	960	59,94	4170
67	1280	960	59,94	4140
68	1280	960	59,94	4120
69	1280	960	29,97	4148
70	1280	960	29,97	4118
71	1280	960	29,97	40D0
72	960	540	29,97	4148
73	960	540	29,97	4118
74	960	540	29,97	40D0
75	720	400	29,97	3F19
76	720	400	29,97	3F00
77	720	400	29,97	3ECC
78	640	360	29,97	3F19
79	640	360	29,97	3F00
80	640	360	29,97	3ECC
81	640	480	59,94	4100
82	640	480	59,94	40C0
83	640	480	59,94	4080
84	640	480	29,97	3F33
85	640	480	29,97	3F19
86	640	480	29,97	3F00
87	432	240	29,97	3F33
88	432	240	29,97	3F19
89	432	240	29,97	3F00
90	320	240	29,97	3F33
91	320	240	29,97	3F19
92	320	240	29,97	3F00
93	352	240	29,97	3F33
94	352	240	29,97	3F19
95	352	240	29,97	3F00
96	1920	1080	48,00	4170
97	1920	1080	48,00	4140
98	1920	1080	48,00	4120
99	1920	1080	24,00	4120
100	1920	1080	24,00	4100
101	1920	1080	24,00	40C0
102	1920	1080	15,00	4140
103	1920	1080	15,00	4120
104	1920	1080	15,00	4100
105	1600	1200	48,00	4170
106	1600	1200	48,00	4140
107	1600	1200	48,00	4120
108	1600	1200	24,00	4120
109	1600	1200	24,00	4100
110	1600	1200	24,00	40C0
111	1280	960	48,00	4170
112	1280	960	48,00	4140
113	1280	960	48,00	4120
114	1280	960	24,00	4148
115	1280	960	24,00	4118
116	1280	960	24,00	40D0
117	1280	720	48,00	4170
118	1280	720	48,00	4140
119	1280	720	48,00	4120
120	1280	720	24,59	4120
121	1280	720	24,59	4100
122	1280	720	24,59	40C0
123	848	480	48,00	4140
124	848	480	48,00	4120
125	848	480	48,00	4100
126	848	480	24,00	4120
127	848	480	24,00	4100
128	848	480	24,00	40C0
129	640	480	48,00	4140
130	640	480	48,00	4120
131	640	480	48,00	4100
132	640	480	24,00	4120
133	640	480	24,00	4100
134	640	480	24,00	40C0
135	352	240	29,97	3F33
136	352	240	29,97	3F19
137	352	240	29,97	3F00
138	352	240	29,97	3F33
139	352	240	29,97	3F19
140	352	240	29,97	3F00
141	352	240	29,97	3F33
142	352	240	29,97	3F19
143	352	240	29,97	3F00
144	352	240	29,97	3F33
145	352	240	29,97	3F19
146	352	240	29,97	3F00
147	432	240	119,88	4080
148	432	240	119,88	4040
149	432	240	119,88	4000
150	432	240	239,76	40C0
151	432	240	239,76	40A0
152	432	240	239,76	4080
153	320	240	119,88	4080
154	320	240	119,88	4040
155	320	240	119,88	4000
156	1280	720	119,88	4190
157	1280	720	119,88	4170
158	1280	720	119,88	4140
159	640	480	119,88	4190
160	640	480	119,88	4170
161	640	480	119,88	4140
162	640	480	239,76	4190
163	640	480	239,76	4170
164	640	480	239,76	4140
165	848	480	239,76	4140
166	848	480	239,76	4120
167	848	480	239,76	4100
168	848	480	119,88	4140
169	848	480	119,88	4120
170	848	480	119,88	4100
